FULL_NAME,FANTASY_POSITIONS,USERNAME,AMOUNT,KEEPER_COST,YEARS_KEPT_EXC
Jalen Hurts,QB,mreddy,51,54,0
Patrick Mahomes,QB,macdoogal,50,53,0
Christian McCaffrey,RB,bmcdonn2,45,48,0
Justin Jefferson,WR,macdoogal,43,46,0
Nick Chubb,RB,seagraha89,35,38,0
Joe Burrow,QB,mreschke,35,38,0
Travis Kelce,TE,macdoogal,32,35,0
CeeDee Lamb,WR,jmax3331,27,30,0
Tyreek Hill,WR,jdubbs816,22,25,0
Justin Fields,QB,kkantarek,20,23,0
Josh Jacobs,RB,bmcdonn2,19,22,0
Trevor Lawrence,QB,jetsweep,19,22,0
Travis Etienne,RB,seagraha89,18,21,0
Darren Waller,TE,jholton8,14,17,0
Jaylen Waddle,WR,jdubbs816,10,13,0
T.J. Hockenson,TE,jmax3331,8,11,0
Deshaun Watson,QB,dmoney277,8,11,0
Amon-Ra St. Brown,WR,kkantarek,7,10,0
Rhamondre Stevenson,RB,jetsweep,7,10,0
Tony Pollard,RB,dmoney277,7,10,0
Kenneth Walker,RB,jdubbs816,7,10,0
Jared Goff,QB,bmcdonn2,6,9,0
Drake London,WR,jholton8,5,8,0
Calvin Ridley,WR,kkantarek,5,8,0
Christian Watson,WR,todoubled133,5,8,0
Geno Smith,QB,jetsweep,5,8,0
DeVonta Smith,WR,mreddy,4,7,0
Miles Sanders,RB,seagraha89,4,7,0
Daniel Jones,QB,mreschke,4,7,0
James Cook,RB,mreddy,3,6,0
Chris Olave,WR,dmoney277,3,6,0
Alexander Mattison,RB,mreschke,3,6,0
George Pickens,WR,todoubled133,2,5,0
Kadarius Toney,WR,jholton8,1,4,0
Garrett Wilson,WR,todoubled133,1,4,0
