FULL_NAME,FANTASY_POSITIONS,USERNAME,KEEPER_COST,YEARS_KEPT_EXC
Christian McCaffrey,RB,bmcdonn2,53,1
Josh Jacobs,RB,bmcdonn2,27,1
Jake Ferguson,TE,bmcdonn2,8,0
Dalton Kincaid,TE,dmoney277,6,0
Chris Olave,WR,dmoney277,11,1
Nico Collins,WR,dmoney277,5,0
Breece Hall,RB,jdubbs816,19,0
Sam LaPorta,TE,jdubbs816,5,0
Tyreek Hill,WR,jdubbs816,30,1
Devin Singletary,RB,jetsweep,8,0
Rhamondre Stevenson,RB,jetsweep,15,1
Gardner Minshew,QB,jholton8,8,0
Drake London,WR,jholton8,13,1
Jordan Love,QB,jmax3331,14,0
Isiah Pacheco,RB,jmax3331,16,0
CeeDee Lamb,WR,jmax3331,35,1
Kyren Williams,RB,kkantarek,8,0
Evan Engram,TE,kkantarek,6,0
Amon-Ra St. Brown,WR,kkantarek,15,1
Patrick Mahomes,QB,macdoogal,58,1
Jonathan Taylor,RB,macdoogal,23,0
Justin Jefferson,WR,macdoogal,51,1
Jalen Hurts,QB,mreddy,59,1
James Cook,RB,mreddy,11,1
Puka Nacua,WR,mreddy,8,0
C.J. Stroud,QB,mreschke,17,0
Will Levis,QB,mreschke,8,0
Trey McBride,TE,mreschke,8,0
Michael Pittman,WR,mreschke,9,0
Kyler Murray,QB,seagraha89,13,0
Brandon Aiyuk,WR,seagraha89,15,0
Tank Dell,WR,seagraha89,8,0
Anthony Richardson,QB,todoubled133,28,0
De'Von Achane,RB,todoubled133,6,0
Garrett Wilson,WR,todoubled133,9,1
