Rk,Player,Tm,Age,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving 1D,Receiving Lng,Receiving R/G,Receiving Y/G,Receiving Ctch%,Receiving Y/Tgt,Rushing Att,Rushing Yds,Rushing TD,Rushing 1D,Rushing Lng,Rushing Y/A,Rushing Y/G,Rushing A/G,Total Tch,Y/Tch,Total Yds,RRTD,Fmb,key
1,Josh Jacobs,LVR,24,RB,17,17,64,53,400,7.5,0,16,43,3.1,23.5,82.80%,6.3,340,1653,12,93,86,4.9,97.2,20,393,5.2,2053,12,3,JacoJo01
2,Derrick Henry,TEN,28,RB,16,16,41,33,398,12.1,0,11,69,2.1,24.9,80.50%,9.7,349,1538,13,65,56,4.4,96.1,21.8,382,5.1,1936,13,6,HenrDe00
3,Christian McCaffrey,2TM,26,RB,17,16,108,85,741,8.7,5,36,49,5,43.6,78.70%,6.9,244,1139,8,59,49,4.7,67,14.4,329,5.7,1880,13,1,McCaCh01
4,Justin Jefferson,MIN,23,WR,17,17,184,128,1809,14.1,8,80,64,7.5,106.4,69.60%,9.8,4,24,1,2,10,6,1.4,0.2,132,13.9,1833,9,,JeffJu00
5,Nick Chubb,CLE,27,RB,17,17,37,27,239,8.9,1,12,26,1.6,14.1,73.00%,6.5,302,1525,12,69,41,5,89.7,17.8,329,5.4,1764,13,1,ChubNi00
6,Tyreek Hill,MIA,28,WR,17,17,170,119,1710,14.4,7,77,64,7,100.6,70.00%,10.1,7,32,1,3,10,4.6,1.9,0.4,126,13.8,1742,8,1,HillTy00
7,Saquon Barkley,NYG,25,RB,16,16,76,57,338,5.9,0,10,41,3.6,21.1,75.00%,4.4,295,1312,10,62,68,4.4,82,18.4,352,4.7,1650,10,1,BarkSa00
8,Austin Ekeler,LAC,27,RB,17,17,127,107,722,6.7,5,36,23,6.3,42.5,84.30%,5.7,204,915,13,46,72,4.5,53.8,12,311,5.3,1637,18,5,EkelAu00
9,Aaron Jones,GNB,28,RB,17,17,72,59,395,6.7,5,19,30,3.5,23.2,81.90%,5.5,213,1121,2,54,36,5.3,65.9,12.5,272,5.6,1516,7,5,JoneAa00
10,Davante Adams,LVR,30,WR,17,17,180,100,1516,15.2,14,65,60,5.9,89.2,55.60%,8.4,3,-1,0,0,4,-0.3,-0.1,0.2,103,14.7,1515,14,1,AdamDa01
11,A.J. Brown,PHI,25,WR,17,16,145,88,1496,17,11,59,78,5.2,88,60.70%,10.3,,,0,0,,,,,88,17,1496,11,2,BrowAJ00
