full_name,fantasy_positions,username,amount,keeper_cost,years_kept
Sam LaPorta,TE,mreddy,5,10,1
Trey Benson,RB,mreddy,6,9,0
Xavier Worthy,WR,mreddy,10,13,0
Jared Goff,QB,mreddy,30,33,0
James Conner,RB,mreddy,26,29,0
Jonnu Smith,TE,mreddy,5,8,0
A.J. Brown,WR,mreddy,35,38,0
Terry McLaurin,WR,mreddy,16,19,0
Tua Tagovailoa,QB,mreddy,21,24,0
Jalen Hurts,QB,mreddy,59,67,2
James Cook,RB,mreddy,11,19,2
Puka Nacua,WR,mreddy,8,13,1
Travis Kelce,TE,rlawley25,18,21,0
Mike Evans,WR,rlawley25,21,24,0
Taysom Hill,TE,rlawley25,7,10,0
Austin Ekeler,RB,rlawley25,3,6,0
Baker Mayfield,QB,rlawley25,8,11,0
David Montgomery,RB,rlawley25,26,29,0
Diontae Johnson,WR,rlawley25,7,10,0
D'Andre Swift,RB,rlawley25,12,15,0
Justin Herbert,QB,rlawley25,25,28,0
DeVonta Smith,WR,rlawley25,19,22,0
Travis Etienne,RB,rlawley25,38,41,0
Drake London,WR,rlawley25,13,21,2
Quentin Johnston,WR,rlawley25,1,4,0
Blake Corum,RB,kkantarek,3,6,0
Rome Odunze,WR,kkantarek,10,13,0
Alvin Kamara,RB,kkantarek,20,23,0
Cooper Kupp,WR,kkantarek,21,24,0
Aaron Jones,RB,kkantarek,17,20,0
Lamar Jackson,QB,kkantarek,52,55,0
Josh Allen,QB,kkantarek,60,63,0
Jauan Jennings,WR,kkantarek,5,8,0
Amon-Ra St. Brown,WR,kkantarek,15,23,2
Justin Fields,QB,kkantarek,1,4,0
Kyren Williams,RB,kkantarek,8,13,1
Tucker Kraft,TE,kkantarek,5,8,0
Andrei Iosivas,WR,bmcdonn2,3,6,0
Rashee Rice,WR,bmcdonn2,14,17,0
Tommy DeVito,QB,bmcdonn2,5,8,0
J.J. McCarthy,QB,bmcdonn2,1,4,0
Ray Davis,RB,bmcdonn2,3,6,0
Adonai Mitchell,WR,bmcdonn2,1,4,0
Xavier Legette,WR,bmcdonn2,2,5,0
Isaac Guerendo,RB,bmcdonn2,5,8,0
Jameis Winston,QB,bmcdonn2,5,8,0
Ezekiel Elliott,RB,bmcdonn2,2,5,0
Hunter Henry,TE,bmcdonn2,5,8,0
Josh Jacobs,RB,bmcdonn2,27,35,2
Jake Ferguson,TE,bmcdonn2,8,13,1
Keaton Mitchell,RB,bmcdonn2,5,8,0
Zay Flowers,WR,bmcdonn2,11,14,0
Caleb Williams,QB,seagraha89,33,36,0
Bucky Irving,RB,seagraha89,2,5,0
Malik Nabers,WR,seagraha89,18,21,0
Kyler Murray,QB,seagraha89,13,18,1
Brandon Aiyuk,WR,seagraha89,15,20,1
Darnell Mooney,WR,seagraha89,5,8,0
Kyle Pitts,TE,seagraha89,10,13,0
Romeo Doubs,WR,seagraha89,1,4,0
Kenneth Walker,RB,seagraha89,33,36,0
Christian Watson,WR,seagraha89,6,9,0
Tank Bigsby,RB,seagraha89,5,8,0
Josh Downs,WR,seagraha89,1,4,0
Tank Dell,WR,seagraha89,8,13,1
Bijan Robinson,RB,seagraha89,50,53,0
Jayden Reed,WR,prptp24,5,8,0
Aidan O'Connell,QB,prptp24,5,8,0
Audric Estime,RB,prptp24,1,4,0
Amari Cooper,WR,prptp24,12,15,0
Tyler Lockett,WR,prptp24,2,5,0
Noah Brown,WR,prptp24,5,8,0
Mark Andrews,TE,prptp24,18,21,0
Zack Moss,RB,prptp24,15,18,0
Mac Jones,QB,prptp24,5,8,0
Rachaad White,RB,prptp24,28,31,0
Garrett Wilson,WR,prptp24,9,17,2
Jaylen Warren,RB,prptp24,11,14,0
De'Von Achane,RB,prptp24,6,11,1
Bryce Young,QB,prptp24,6,9,0
Anthony Richardson,QB,prptp24,28,33,1
Dak Prescott,QB,jetsweep,35,38,0
Tyreek Hill,WR,jetsweep,30,38,2
Joe Mixon,RB,jetsweep,25,28,0
Matthew Stafford,QB,jetsweep,18,21,0
Deebo Samuel,WR,jetsweep,21,24,0
Jakobi Meyers,WR,jetsweep,2,5,0
Alexander Mattison,RB,jetsweep,5,8,0
Devin Singletary,RB,jetsweep,8,13,1
Rhamondre Stevenson,RB,jetsweep,15,23,2
Trey McBride,TE,jetsweep,8,13,1
Tyler Allgeier,RB,jetsweep,2,5,0
Brock Purdy,QB,jetsweep,29,32,0
Tyjae Spears,RB,jetsweep,5,8,0
Ladd McConkey,WR,macdoogal,5,8,0
Keenan Allen,WR,macdoogal,9,12,0
Patrick Mahomes,QB,macdoogal,58,66,2
George Kittle,TE,macdoogal,12,15,0
Dalton Schultz,TE,macdoogal,1,4,0
Jerry Jeudy,WR,macdoogal,1,4,0
Justin Jefferson,WR,macdoogal,51,59,2
J.K. Dobbins,RB,macdoogal,5,8,0
Jonathan Taylor,RB,macdoogal,23,28,1
Zach Charbonnet,RB,macdoogal,3,6,0
Kirk Cousins,QB,jmax3331,15,18,0
Russell Wilson,QB,jmax3331,5,8,0
DeAndre Hopkins,WR,jmax3331,3,6,0
Kareem Hunt,RB,jmax3331,5,8,0
Courtland Sutton,WR,jmax3331,5,8,0
