AMOUNT,FIRST_NAME,LAST_NAME,POSITION,SLOT,TEAM,YEARS_EXP,ROUND,ROSTER_ID,PLAYER_ID,PICKED_BY,PICK_NO,IS_KEEPER,DRAFT_SLOT,DRAFT_ID,FULL_NAME,KEEPER_COST
3,D'Onta,Foreman,RB,6,CHI,6,1,8,4111,855525475735449600,1,,6,972782648546365441,D'Onta Foreman,6
55,Lamar,Jackson,QB,7,BAL,5,1,10,4881,468977651244068864,2,,7,972782648546365441,Lamar Jackson,58
39,Saquon,Barkley,RB,1,NYG,5,1,7,4866,474645081496743936,3,,1,972782648546365441,Saquon Barkley,42
39,Austin,Ekeler,RB,2,LAC,6,1,6,4663,855338095552364544,4,,2,972782648546365441,Austin Ekeler,42
43,Derrick,Henry,RB,2,TEN,7,1,6,3198,855338095552364544,5,,2,972782648546365441,Derrick Henry,46
43,Bijan,Robinson,RB,11,ATL,0,1,3,9509,464859920353718272,6,,11,972782648546365441,Bijan Robinson,46
13,George,Kittle,TE,8,SF,6,1,4,4217,855170543408758784,7,,8,972782648546365441,George Kittle,16
20,Jonathan,Taylor,RB,6,IND,3,1,8,6813,855525475735449600,8,,6,972782648546365441,Jonathan Taylor,23
46,Ja'Marr,Chase,WR,7,CIN,2,1,10,7564,468977651244068864,9,,7,972782648546365441,Ja'Marr Chase,49
70,Josh,Allen,QB,9,BUF,5,1,12,4984,86966669985333248,10,,9,972782648546365441,Josh Allen,73
60,Justin,Herbert,QB,11,LAC,3,1,3,6797,464859920353718272,11,,11,972782648546365441,Justin Herbert,63
25,Anthony,Richardson,QB,2,IND,0,1,6,9229,855338095552364544,12,,2,972782648546365441,Anthony Richardson,28
28,Dak,Prescott,QB,8,DAL,7,2,4,3294,855170543408758784,13,,8,972782648546365441,Dak Prescott,31
15,Russell,Wilson,QB,4,DEN,11,2,5,1234,710307353332871168,14,,4,972782648546365441,Russell Wilson,18
37,A.J.,Brown,WR,5,PHI,4,2,2,5859,855126842598858752,15,,5,972782648546365441,A.J. Brown,40
31,Jahmyr,Gibbs,RB,12,DET,0,2,1,9221,854978436689702912,16,,12,972782648546365441,Jahmyr Gibbs,34
26,Tua,Tagovailoa,QB,3,MIA,3,2,9,6768,855529946632798208,17,,3,972782648546365441,Tua Tagovailoa,29
43,Stefon,Diggs,WR,1,BUF,8,2,7,2449,474645081496743936,18,,1,972782648546365441,Stefon Diggs,46
23,Kirk,Cousins,QB,5,MIN,11,2,2,1166,855126842598858752,19,,5,972782648546365441,Kirk Cousins,26
